timestamp,symbol,price,alpha,cs_alpha_z,event_prob,vol_z,roc_5m
1767383700.0,NVDA,188.8699,-0.3140,1.0001,0.5570,-1.3571,-0.001481
1767383700.0,AAPL,270.3450,-0.7514,-1.0944,0.5487,-0.9329,-0.000351
1767383700.0,META,652.0100,0.7628,-1.0950,0.5906,-0.7140,-0.000115
1767383700.0,PLTR,168.0600,-0.6533,1.0072,0.3690,-0.0788,-0.002256
1767383700.0,TSLA,440.8450,-1.9508,-1.0974,0.7369,-1.2411,-0.000533
1767383700.0,UNH,338.3000,1.1508,-1.0924,0.4769,-0.4880,0.000148
1767383700.0,AMZN,226.4300,-0.9714,-0.9153,0.6141,-0.8918,-0.000088
1767383700.0,AMD,223.0600,-0.4957,1.0013,0.7034,-0.5069,-0.000582
1767383700.0,MSTR,157.1000,0.2681,0.1911,0.6486,0.6387,-0.002666
1767383700.0,COIN,237.2150,-0.4933,1.0028,0.6637,0.0702,0.000485
1767383700.0,NFLX,91.3200,-0.5318,1.0010,0.6225,-0.3260,-0.000493
1767383700.0,CRWV,80.0810,-0.6678,-1.1053,0.6231,-0.5265,-0.001671
1767383700.0,AVGO,347.2850,-1.0867,0.9935,0.5639,-1.0995,-0.001481
1767383700.0,MSFT,472.1651,-0.8327,0.9913,0.6139,-0.3507,-0.000095
1767383700.0,HOOD,115.2200,-0.5928,0.9928,0.2994,-0.3959,0.000174
1767383700.0,MU,313.6300,-0.2299,-0.1876,0.6180,-0.8076,-0.000303
1767383700.0,APP,621.4500,-1.0663,0.9966,0.3673,-0.5462,-0.000113
1767383700.0,GOOGL,314.8800,0.6504,0.9863,0.6980,-0.7999,-0.000825
1767383700.0,WMT,112.6900,0.7580,-1.0896,0.4995,-0.5555,0.000444
1767383700.0,SMCI,31.1950,0.4585,-1.0068,0.5677,0.3771,-0.001281
1767383700.0,ADBE,335.7950,-0.8632,0.9992,0.6331,-0.3142,-0.001056
1767383700.0,CRM,255.0100,1.3145,0.9926,0.5042,-1.1094,0.000275
1767383700.0,ORCL,195.6400,0.7108,1.0010,0.6162,-1.1869,-0.000153
1767383700.0,NKE,63.2701,-0.4364,0.9880,0.6330,-1.0221,0.001902
1767383700.0,XOM,122.5468,0.9459,-1.0902,0.4069,-0.9435,0.000777
1767383700.0,INTC,39.6150,-1.0708,-1.0939,0.6641,1.0209,-0.000379
1767383700.0,DELL,127.8700,-1.2712,-1.0853,0.5665,-0.7684,-0.000977
1767383700.0,IWM,248.7450,0.6170,-1.0984,0.6653,-0.3690,-0.000502
1767383700.0,GLD,397.0900,0.7284,-1.0931,0.5525,-0.8160,-0.000403
1767383760.0,NVDA,188.9250,0.1208,1.0216,0.5199,-0.9694,-0.001137
1767383760.0,AAPL,270.4100,-0.7161,-1.0681,0.5720,-0.7908,0.000001
1767383760.0,META,652.0500,0.6881,-1.0691,0.5984,-0.9358,-0.000383
1767383760.0,PLTR,168.0400,-0.6439,1.0364,0.3484,-0.2129,-0.002671
1767383760.0,TSLA,441.1400,-1.3824,-0.6920,0.7644,-1.1153,-0.000476
1767383760.0,UNH,338.4600,1.1078,-1.0704,0.4948,-0.3709,0.000325
1767383760.0,AMZN,226.5100,-1.1151,-1.0672,0.6372,-0.6976,0.000088
1767383760.0,AMD,223.1731,-0.5123,1.0288,0.7063,-0.8236,-0.000837
1767383760.0,MSTR,157.0600,-0.8034,-0.8667,0.6228,-0.3444,-0.003914
1767383760.0,COIN,237.0000,-0.5071,1.0301,0.6706,-0.7726,-0.001685
1767383760.0,NFLX,91.3150,-0.5279,1.0241,0.6298,-0.4006,-0.000657
1767383760.0,CRWV,80.0012,-0.6592,-1.0819,0.6584,-1.0493,-0.003721
1767383760.0,AVGO,347.2700,-1.0565,1.0127,0.5445,-1.2255,-0.001684
1767383760.0,MSFT,472.2200,-0.8498,1.0237,0.6401,-0.7377,-0.000402
1767383760.0,HOOD,115.1835,-0.5755,1.0201,0.2970,-0.5513,-0.000689
1767383760.0,MU,313.9000,-1.0826,-1.0642,0.6197,-0.3070,0.000669
1767383760.0,APP,621.2924,-1.0767,1.0228,0.3548,-0.5394,-0.000527
1767383760.0,GOOGL,314.8100,0.5630,1.0133,0.6982,-0.9215,-0.001142
1767383760.0,WMT,112.7100,0.7467,-1.0647,0.4671,-0.5562,0.000621
1767383760.0,SMCI,31.1950,0.6162,-1.0687,0.5127,0.1177,-0.001763
1767383760.0,ADBE,335.7650,0.5043,0.6942,0.6393,-0.7103,-0.001606
1767383760.0,CRM,254.9950,1.2740,1.0194,0.4312,-1.1009,-0.000020
1767383760.0,ORCL,195.5680,0.1090,0.5869,0.6246,-1.1152,-0.000675
1767383760.0,NKE,63.2750,-0.4615,1.0168,0.6717,-0.8778,0.001583
1767383760.0,XOM,122.5950,-1.2458,0.8315,0.3749,-0.9625,0.000735
1767383760.0,INTC,39.6300,-1.0599,-1.0686,0.6173,0.3308,-0.000882
1767383760.0,DELL,127.9499,-1.2608,-1.0602,0.5810,-0.5266,-0.000782
1767383760.0,IWM,248.8400,0.6336,-1.0765,0.6938,-0.6219,-0.000582
1767383760.0,GLD,397.1900,0.7130,-1.0642,0.5560,-0.5989,-0.000277
1767383820.0,NVDA,188.8700,-0.3879,1.0586,0.5515,-1.0393,-0.000926
1767383820.0,AAPL,270.4200,-0.7067,-1.1042,0.5624,-0.8689,0.000259
1767383820.0,META,651.7550,0.6446,-1.1037,0.5732,-0.7428,-0.000544
1767383820.0,PLTR,167.7996,-0.6350,1.0704,0.3294,-0.1941,-0.002701
1767383820.0,TSLA,441.0400,0.4945,0.8771,0.7618,-1.0712,-0.000680
1767383820.0,UNH,338.4100,1.1200,-1.1043,0.4913,-0.3307,0.000118
1767383820.0,AMZN,226.3800,-1.0943,-1.1012,0.6199,-0.1565,-0.000442
1767383820.0,AMD,223.1600,-0.2332,1.0588,0.6880,-1.0923,-0.000202
1767383820.0,MSTR,157.0800,0.0011,-0.0460,0.6286,-1.0104,-0.001779
1767383820.0,COIN,237.2300,-0.3961,1.0625,0.6221,-0.2251,0.000126
1767383820.0,NFLX,91.2850,-0.5374,1.0553,0.6006,-0.3424,-0.000766
1767383820.0,CRWV,80.1100,-0.6414,-1.1139,0.6425,-0.2401,-0.001620
1767383820.0,AVGO,347.1500,-0.0294,0.0277,0.4873,-1.1911,-0.001582
1767383820.0,MSFT,472.0500,-0.8606,1.0537,0.6488,-0.8648,-0.000296
1767383820.0,HOOD,115.1302,-0.5613,1.0562,0.3089,-0.6052,-0.000550
1767383820.0,MU,314.1000,-1.0657,-1.1010,0.6192,-0.8450,0.001978
1767383820.0,APP,621.0400,-1.0575,1.0551,0.3516,-0.8553,0.000129
1767383820.0,GOOGL,314.7500,-3.7038,0.0931,0.6997,-1.0559,-0.000826
1767383820.0,WMT,112.6850,0.7448,-1.1056,0.5141,-0.4866,0.000577
1767383820.0,SMCI,31.1850,0.6250,-1.1018,0.5052,-0.0400,-0.002240
1767383820.0,ADBE,335.6700,-0.7244,-0.3940,0.6245,-0.7000,-0.001666
1767383820.0,CRM,254.8200,1.2997,1.0644,0.4527,-0.7344,-0.000667
1767383820.0,ORCL,195.5500,0.7394,1.0547,0.6103,-1.1658,-0.000920
1767383820.0,NKE,63.3150,0.6792,1.0448,0.7198,-0.8799,0.002137
