date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-04-01,AMD,UP,ATM,AMD260402C00212500,,open_ladder,day_iv,213.58,212.5,1,2026-04-01 12:09:00-04:00,3,3.41034,3.10128,-0.09062439522159083,T+30,2026-04-01 12:09:00-04:00,2026-04-01 12:39:00-04:00,0.01732681844959627,1.0,-1.4798419320276521
2026-04-02,TSLA,DN,ATM,TSLA260402P00365000,,open_ladder,day_iv,363.84,365.0,0,2026-04-02 12:30:00-04:00,1,4.7282,4.6718,-0.011928429423459286,T+30,2026-04-02 15:38:00-04:00,2026-04-02 15:38:00-04:00,-0.004826618286379203,4.0,1.5930433412209462
2026-04-07,AAPL,DN,ATM,AAPL260408P00250000,,open_ladder,day_iv,247.349,250.0,1,2026-04-07 10:30:00-04:00,1,3.94352,4.771199999999999,0.209883555808009,T+30,2026-04-07 10:30:00-04:00,2026-04-07 11:00:00-04:00,-0.010925711955413475,6.0,0.15208452079435014
2026-04-07,TSLA,DN,ATM,TSLA260408P00342500,,open_ladder,day_iv,340.065,342.5,1,2026-04-07 10:46:00-04:00,1,5.9857000000000005,6.6101,0.10431528476201612,T+30,2026-04-07 10:46:00-04:00,2026-04-07 11:16:00-04:00,-0.011112621491198182,10.0,-0.4329864354370812
2026-04-07,TSLA,DN,ATM,TSLA260408P00342500,,open_ladder,day_iv,338.635,342.5,1,2026-04-07 11:32:00-04:00,2,6.92128,5.019699999999999,-0.27474397799251016,T+30,2026-04-07 11:32:00-04:00,2026-04-07 12:02:00-04:00,-0.011843267858356654,5.0,-0.6927689427125593
2026-04-08,AAPL,UP,ATM,AAPL260408C00260000,,open_ladder,day_iv,258.915,260.0,0,2026-04-08 11:00:00-04:00,1,0.03018,0.02982,-0.011928429423459175,T+30,2026-04-08 13:40:00-04:00,2026-04-08 13:40:00-04:00,0.02573510676247248,7.0,1.9867810752582025
2026-04-08,META,UP,ATM,META260408C00610000,,open_ladder,day_iv,608.94,610.0,0,2026-04-08 12:13:00-04:00,1,1.44864,1.43136,-0.011928429423459175,T+30,2026-04-08 15:32:00-04:00,2026-04-08 15:32:00-04:00,0.029912177886493696,2.0,-1.5062181748421184
2026-04-09,AMZN,UP,ATM,AMZN260410C00230000,,open_ladder,day_iv,229.77,230.0,1,2026-04-09 11:15:00-04:00,1,1.9013399999999998,2.9323,0.5422281128046538,T+30,2026-04-09 11:15:00-04:00,2026-04-09 11:45:00-04:00,0.0005116440277939116,2.0,-1.794796861705089
2026-04-09,META,UP,ATM,META260410C00632500,,open_ladder,day_iv,631.315,632.5,1,2026-04-09 11:20:00-04:00,1,6.1869000000000005,6.10316,-0.013535049863421245,T+30,2026-04-09 11:20:00-04:00,2026-04-09 11:50:00-04:00,0.0005116440277939116,2.0,-1.8644322534825972
2026-04-09,AMZN,UP,ATM,AMZN260410C00230000,,open_ladder,day_iv,232.91,230.0,1,2026-04-09 12:02:00-04:00,2,4.6779,2.6838,-0.4262810235362021,T+30,2026-04-09 12:10:00-04:00,2026-04-09 12:32:00-04:00,0.0062552608559309775,5.0,-1.5285483742399006
