date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-03-06,META,DN,ATM,META260306P00647500,open_lock,day_iv,646.98,647.5,0,2026-03-06 11:15:00-05:00,1,3.1689,3.1311,-0.011928429423459175,T+30,2026-03-06 14:50:00-05:00,2026-03-06 14:50:00-05:00,stream
2026-03-11,TSLA,UP,ATM,TSLA260311C00402500,open_lock,day_iv,407.97,402.5,0,2026-03-11 12:31:00-04:00,1,3.00794,2.9720600000000004,-0.011928429423459175,T+30,2026-03-11 14:31:00-04:00,2026-03-11 14:31:00-04:00,stream
2026-03-12,AAPL,DN,ATM,AAPL260313P00257500,open_lock,1s,254.7601,257.5,1,2026-03-12 10:30:00-04:00,1,3.78,3.4299999999999997,-0.09259259259259267,T+30,2026-03-12 10:30:00-04:00,2026-03-12 11:00:00-04:00,stream
2026-03-12,NVDA,DN,ATM,NVDA260313P00185000,open_lock,day_iv,182.09,185.0,1,2026-03-12 10:30:00-04:00,1,3.58136,3.53864,-0.011928429423459286,T+30,2026-03-12 10:30:00-04:00,2026-03-12 11:00:00-04:00,stream
2026-03-13,META,DN,ATM,META260313P00625000,open_lock,1s,620.2,625.0,0,2026-03-13 10:56:00-04:00,1,5.83,7.859999999999999,0.34819897084048024,T+30,2026-03-13 10:56:01-04:00,2026-03-13 11:26:00-04:00,stream
2026-03-13,META,DN,ATM,META260313P00625000,open_lock,1s,617.78,625.0,0,2026-03-13 11:31:00-04:00,2,7.58,7.720000000000001,0.018469656992084582,T+30,2026-03-13 11:31:01-04:00,2026-03-13 12:01:06-04:00,stream
2026-03-13,META,DN,ATM,META260313P00625000,open_lock,1s,617.77,625.0,0,2026-03-13 12:25:00-04:00,3,7.33,9.33,0.2728512960436562,T+30,2026-03-13 12:25:00-04:00,2026-03-13 12:55:00-04:00,stream
2026-03-13,META,DN,ATM,META260313P00625000,open_lock,1s,613.51,625.0,0,2026-03-13 13:03:00-04:00,4,11.54,10.120000000000001,-0.1230502599653378,T+30,2026-03-13 13:03:00-04:00,2026-03-13 13:33:00-04:00,stream
2026-03-16,TSLA,UP,ATM,TSLA260316C00395000,open_lock,1s,401.52,395.0,0,2026-03-16 10:30:00-04:00,1,7.87,6.24,-0.20711562897077507,T+30,2026-03-16 10:30:00-04:00,2026-03-16 11:00:00-04:00,stream
2026-04-01,AMD,UP,ATM,AMD260402C00207500,open_lock,day_iv,210.85,207.5,1,2026-04-01 10:30:00-04:00,1,5.130599999999999,6.00376,0.17018672280045233,T+30,2026-04-01 10:30:00-04:00,2026-04-01 11:00:00-04:00,stream
2026-04-01,AMD,UP,ATM,AMD260402C00207500,open_lock,day_iv,212.24,207.5,1,2026-04-01 11:26:00-04:00,2,6.0360000000000005,6.77908,0.1231080185553346,T+30,2026-04-01 11:26:00-04:00,2026-04-01 12:14:00-04:00,stream
2026-04-01,AMD,UP,ATM,AMD260402C00207500,open_lock,day_iv,213.495,207.5,1,2026-04-01 12:19:00-04:00,3,6.96152,6.6101,-0.05048035486502944,T+30,2026-04-01 12:20:00-04:00,2026-04-01 12:55:00-04:00,stream
2026-04-02,TSLA,DN,ATM,TSLA260402P00365000,open_lock,day_iv,363.84,365.0,0,2026-04-02 12:30:00-04:00,1,4.7282,4.6718,-0.011928429423459286,T+30,2026-04-02 15:38:00-04:00,2026-04-02 15:38:00-04:00,stream
2026-04-06,AAPL,UP,ATM,AAPL260406C00257500,open_lock,1s,261.985,257.5,0,2026-04-06 10:31:00-04:00,1,4.890000000000001,2.542,-0.48016359918200424,T+30,2026-04-06 10:31:06-04:00,2026-04-06 11:01:03-04:00,stream
2026-04-07,AAPL,DN,ATM,AAPL260408P00255000,open_lock,day_iv,247.349,255.0,1,2026-04-07 10:30:00-04:00,1,7.7965,9.0454,0.16018726351568024,T+30,2026-04-07 10:31:00-04:00,2026-04-07 11:01:00-04:00,stream
2026-04-07,TSLA,DN,ATM,TSLA260408P00347500,open_lock,day_iv,340.065,347.5,1,2026-04-07 10:46:00-04:00,1,9.3055,10.01952,0.0767309655580033,T+30,2026-04-07 10:46:00-04:00,2026-04-07 11:16:00-04:00,stream
2026-04-07,TSLA,DN,ATM,TSLA260408P00347500,open_lock,day_iv,338.635,347.5,1,2026-04-07 11:32:00-04:00,2,10.784320000000001,8.548399999999999,-0.20733064300762605,T+30,2026-04-07 11:32:00-04:00,2026-04-07 12:02:00-04:00,stream
2026-04-08,AAPL,UP,ATM,AAPL260408C00257500,open_lock,1s,258.915,257.5,0,2026-04-08 11:00:00-04:00,1,1.928,0.85,-0.5591286307053942,T+30,2026-04-08 11:00:00-04:00,2026-04-08 11:30:00-04:00,stream
2026-04-09,AMZN,UP,ATM,AMZN260410C00225000,open_lock,day_iv,229.77,225.0,1,2026-04-09 11:15:00-04:00,1,9.003699999999998,8.8963,-0.011928429423459064,T+30,2026-04-09 12:10:00-04:00,2026-04-09 12:10:00-04:00,stream
2026-04-09,META,UP,ATM,META260410C00627500,open_lock,day_iv,631.315,627.5,1,2026-04-09 11:20:00-04:00,1,8.9534,8.86648,-0.009708043871601957,T+30,2026-04-09 11:20:00-04:00,2026-04-09 11:50:00-04:00,stream
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,open_lock,1s,274.545,270.0,0,2026-05-04 10:38:00-04:00,1,3.97,4.930000000000001,0.24181360201511337,T+30,2026-05-04 10:38:00-04:00,2026-05-04 11:08:00-04:00,stream
2026-05-05,AAPL,UP,ATM,AAPL260506C00277500,open_lock,day_iv,282.43,277.5,1,2026-05-05 13:04:00-04:00,1,5.382099999999999,5.486879999999999,0.019468237305141134,T+30,2026-05-05 13:05:00-04:00,2026-05-05 13:34:00-04:00,stream
